"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*06fxu*","Ibrahim Sangare","NOT","M","216","FA","SUN Sat 5:30PM","22.5","4.5","4%","-1.1%"
"*04abn*","Harvey Barnes","NEW","M","217","Dank95","ARS Sun 4:30PM","21.84","4.37","79%","-10.7%"
"*070hs*","Gianluigi Donnarumma","MCI","G","218","Ekitiki","BUR Sat 3:00PM","21.6","10.8","78%","+6.5%"
"*03frx*","Ola Aina","NOT","D","219","FA","SUN Sat 5:30PM","21.45","7.15","33%","-11.2%"
"*06fwz*","Murillo","NOT","D","220","CUM","SUN Sat 5:30PM","21.37","5.34","65%","-6.4%"
"*070g7*","Nick Woltemade","NEW","F","221","W <small>(Fri)</small>","ARS Sun 4:30PM","21.34","10.67","82%","+2.8%"
"*06fwi*","Carlos Baleba","BHA","M","222","FA","@CHE Sat 3:00PM","21.1","4.22","36%","-3.4%"
"*04hk9*","Mikel Merino","ARS","M","223","FA","@NEW Sun 4:30PM","21.02","5.25","36%","+1.7%"
"*05gcp*","Tomas Soucek","WHU","M","224","FA","@EVE Mon 8:00PM","20.87","5.22","19%","-4.1%"
"*04o82*","Curtis Jones","LIV","M","225","FA","@CRY Sat 3:00PM","20.79","5.2","6%","-0.6%"
